,0,1,2
0,الفصل#3 الثاني#3,0,2
1,وكان#3 صباح#3,0,2
2,يوما#3 واحدا#3,0,2
3,قضى#3 فتانا#3 إبراهيم#3 —#3 وهذا#3 اسمه#3 —#3 ليلة#3 هادئة#3 عميقة#3 النوم#3 إذا#3 استثنينا#4 حلما#3 قصيرا#3 ركب#3 فيه#3 جوادا#3 بلا#3 لجام#4 جمح#5 به#3 في#3 طريق#3 وعر#4,0,2
4,ينحدر#3 على#3 أحد#3 جانبيه#3 نهر#3 جائش#5,0,2
5,وتعترضه#3 في#3 بعض#3 المواضيع#3 أقنية#3 تختلف#3 ضيقا#4 وسعة#4,0,2
6,عليها#3 ألواح#3 من#3 الخشب#3,0,2
7,وقف#3 الجواد#3 الخبيث#3 فجأة#3,0,2
8,فوق#3 واحدة#3 منها#3 وأهوى#5 برأسه#5 وقادمتيه#5 إلى#3 الماء#3 ليشرب#3,0,2
9,وبدأ#3 الصبح#3 بأصوات#3 العصافير#3,0,2
10,فنهض#3 ثم#3 لبس#3 حذاءه#3 ومعطفه#3 وطربوشه#3,0,2
11,وخرج#3 متسللا#3 كاللص#3,0,2
12,وكانت#3 السماء#3 غائمة#3,0,2
13,والجو#3 مطلولا#5 لا#3 تخلص#3 معه#3 الأنفاس#3,0,2
14,وكان#3 هو#3 يكره#3 الرطوبة#3 ويتقيها#3 ويشفق#3 من#3 عواقب#4 التعرض#3 لها#3,0,2
15,وكثيرا#3 ما#3 ثنته#4 عما#3 يقصد#3 إليه#3,0,2
16,ولكن#3 منظر#3 الحقول#3 في#3 هذه#3 الساعة#3 قبل#3 طلوع#3 الشمس#3,0,2
17,والضباب#3 يسترها#3 على#3 مسافة#3 متر#3,0,2
18,ويشف#3 شيئا#3 فشيئا#3 عنها#3 —#3 وهو#3 منظر#3 لا#3 عهد#4 له#3 به#3 —#3 أغراه#3 بالمضي#4 فانطلق#4 على#3 غير#3 هدى#3,0,2
19,حتى#3 وقف#3 على#3 ترعة#4 صغيرة#3 نزرة#5 الماء#3,0,2
20,تكسو#4 الحشائش#3 جانبي#3 مجراها#4,0,2
