,text,level
0,الفصل الثاني,3
1,وكان صباح,3
2,يوما واحدا,3
3,قضى فتانا إبراهيم — وهذا اسمه — ليلة هادئة عميقة النوم إذا استثنينا حلما قصيرا ركب فيه جوادا بلا لجام جمح به في طريق وعر,5
4,قضى فتانا إبراهيم — وهذا اسمه — ليلة هادئة عميقة النوم إذا استثنينا حلما قصيرا ركب فيه جوادا بلا لجام شرد به في طريق وعر,4
5,قضى فتانا إبراهيم — وهذا اسمه — ليلة هادئة عميقة النوم إذا أبعدنا حلما قصيرا ركب فيه جوادا بلا حزام شرد به في طريق شاق,3
6,ينحدر على أحد جانبيه نهر جائش,5
7,ينحدر على أحد جانبيه نهر هائج,3
8,وتعترضه في بعض المواضيع أقنية تختلف ضيقا وسعة,4
9,وتعترضه في بعض المواضيع أقنية تختلف صغرا ووسعا,3
10,عليها ألواح من الخشب,3
11,وقف الجواد الخبيث فجأة,3
12,فوق واحدة منها وأهوى برأسه وقادمتيه إلى الماء ليشرب,5
13,فوق واحدة منها وأسقط رأسه وقائمتيه إلى الماء ليشرب,3
14,وبدأ الصبح بأصوات العصافير,3
15,فنهض ثم لبس حذاءه ومعطفه وطربوشه,3
16,وخرج متسللا كاللص,3
17,وكانت السماء غائمة,3
18,والجو مطلولا لا تخلص معه الأنفاس,5
19,والجو مبللا لا تخلص معه الأنفاس,3
20,وكان هو يكره الرطوبة ويتقيها ويشفق من عواقب التعرض لها,4
21,وكان هو يكره الرطوبة ويتقيها ويشفق من نتائج التعرض لها,3
22,وكثيرا ما ثنته عما يقصد إليه,4
23,وكثيرا ما منعته عما يقصد إليه,3
24,ولكن منظر الحقول في هذه الساعة قبل طلوع الشمس,3
25,والضباب يسترها على مسافة متر,3
26,ويشف شيئا فشيئا عنها — وهو منظر لا عهد له به — أغراه بالمضي فانطلق على غير هدى,4
27,ويشف شيئا فشيئا عنها — وهو منظر لا معرفة له به — أغراه بالذهاب فسار على غير هدى,3
28,حتى وقف على ترعة صغيرة نزرة الماء,5
29,حتى وقف على ترعة صغيرة قليلة الماء,4
30,حتى وقف على قناة صغيرة قليلة الماء,3
31,تكسو الحشائش جانبي مجراها,4
32,تغطي الحشائش جانبي مسارها,3
33,ويفترش الماء في قاعها بساطا سندسيا لينا,5
34,ويفترش الماء في قاعها بساطا حريريا لينا,4
35,وينتشر الماء في قاعها بساطا حريريا لينا,3
36,وجعل ينظر إليها تارة,4
37,وجعل ينظر إليها مرة,3
38,ويدير عينه في الحقول المستوية تارة أخرى,4
39,ويدير عينه في الحقول المستوية مرة أخرى,3
40,وكان المنظر من حوله مؤلفا من عناصر إذا اجتمعت,4
41,وكان المنظر من حوله مكونا من عوامل إذا اجتمعت,3
42,كما هى الآن,4
43,كما هى حاليا,3
44,أحالت الحب في النفس الحساسة قلقا,4
45,حولت الحب في النفس الحساسة لقلق,3
46,وهوت بالأمل إلى الشك,4
47,وهبط بالأمل إلى الشك,3
48,وهبطت باليقين إلى مرتبة الرجاء,4
49,وهبطت بالمؤكد إلى مرتبة التمني,3
50,ومنعت الذكرى أن تحرك الأسف على فائت,3
51,أو الرغبة أن تدفع إلى سعي,3
52,وذلك أنه كان أمامه — على قدر ما وسعه أن يرى — هذه الترعة السوداء ومن ورائها مثل الجدار القائم,5
53,وذلك أنه كان أمامه — على قدر ما أمكنه أن يرى — هذه الترعة السوداء ومن ورائها مثل الجدار القائم,4
54,وذلك أنه كان أمامه — على قدر ما أمكنه أن يرى — هذه القناة السوداء ومن ورائها مثل الجدار الواقف,3
55,ومن خلفه هو أرض بعضها مرعى فيما يعلم,3
56,وبعضها زرع لا يدري أي شيء هو,3
57,ثم فضاء غير مستو يقوم من بعده البيت الذي زايله منذ لحظة,5
58,ثم فضاء غير مستو يقوم من بعده البيت الذي فارقه منذ لحظة,3
59,وكل ما حوله أشكال ليس لها معارف — كالدرهم المسيح — توحي إلى النفس أي شيء,4
60,وكل ما حوله أشكال ليس لها معارف — كالدرهم الذائب — توحي إلى النفس أي شيء,3
61,ولا تنطق بشيء,3
62,إذ كان الضباب لا يزال يكسوها ثوبا يزيدها في رأي العين والقلب عريا وتجردا,5
63,إذ كان الضباب لا يزال يكسوها ثوبا يزيدها في رأي العين والقلب عريا وحرية,4
64,إذ كان الضباب لا يزال يلبسها ثوبا يزيدها في رأي العين والقلب عريا وحرية,3
65,وكانت السماء دانية مسفة يحس المرء أنها تهم بالانطباق على الأرض,5
66,وكانت السماء دانية مقتربة يحس المرء أنها تهم بالاقفال على الأرض,4
67,وكانت السماء قريبة مقتربة يحس المرء أنها توشك على الاقفال على الأرض,3
68,ثم بدأت الشمس تطلع حمراء قانية كبيرة القرص,5
69,ثم بدأت الشمس تطلع حمراء غامقة كبيرة القرص,3
70,وأخذت تطلق أشعتها الطويلة المتوهجة من الشرق فتتلقاها في الغرب السحب,5
71,وأخذت تطلق أشعتها الطويلة الملتهبة من الشرق فتتلقاها في الغرب السحب,4
72,وأخذت تطلق أشعتها الطويلة الملتهبة من الشرق فتستقبلها في الغرب السحب,3
73,فأطراف المنازل,4
74,فحواف المنازل,3
75,والأكواخ والنوافذ ورؤوس الأشجار,3
76,فالأغصان النابتة على وجه الأرض,5
77,فالأغصان الظاهرة على وجه الأرض,3
78,فصارت الأنفاس كأنها خارجة من فوهة مدخنة,4
79,فصارت الأنفاس كأنها خارجة من فتحة مدخنة,3
80,لا من فم آدمي,3
81,وأحس لطول ما وقف,3
82,بالبرد يسري من قدميه إلى سائر بدنه,4
83,بالبرد يمشي من قدميه إلى جميع بدنه,3
84,فثنى خطواته إلى الدار,5
85,فضاعف خطواته إلى الدار,3
86,وما كاد يفتح الباب المؤدي إلى الجناح الذي أفرد له,4
87,وما أوشك أن يفتح الباب المتصل بالجناح الذي خصص له,3
88,حتى طالعته زنجية لامعة الجلد,4
89,حتى طالعته امرأة سوداء لامعة الجلد,3
90,منتفخة الأوداج,5
91,منتفخة الشرايين,3
92,كأنما حشيت أشداقها قطنا,5
93,كأنما ملأت جوانب فمها قطنا,3
94,براقة الأسنان,3
95,واسعة العينين حمراؤهما,3
96,قد غرز رأسها المعصوب بين كتفيها غرزا,5
97,قد غرز رأسها الملفوف بين كتفيها غرزا,4
98,قد غرز رأسها الملفوف بين كتفيها غرسا,3
99,واتصل بهما بلا واسطة,4
100,واتصل بهما بلا وسيلة,3
101,أما صدرها فعريض جدا,3
102,وأما خصرها — إذا جاز أن يسمى هذا خصرا — فهضيم جدا,5
103,وأما خصرها — إذا جاز أن يسمى هذا خصرا — فنحيل جدا,3
104,حتى كأن ما نقص من هذا زيد في ذاك,4
105,حتى كأن ما نقص من هذا زاد في ذاك,3
106,ويلي الخصر ردفان ثقيلان تحتهما ساقان قصيرتان كالقمعين,5
107,ويتبع الخصر مؤخرة ثقيلة تحتها ساقان قصيرتان كالقمعين,3
108,فكأنهما زير عليه إبريق مقلوب فوقه كرة ذات ثقوب,5
109,فكأنهما جرة عليها إبريق مقلوب فوقه كرة ذات ثقوب,4
110,فكأنهما جرة عليها إبريق مقلوب فوقه كرة ذي ثقوب,3
111,والمرء بايسر مجهود من الخيال يستطيع أن يتصورها مفككة,3
112,فابتدرته الزنجية بقولها أين كنت يا سيدي,5
113,فسارعته الزنجية بقولها أين كنت يا سيدي,4
114,فسارعته المرأة السوداء بقولها أين كنت يا سيدي,3
115,فلم يرتح إبراهيم إلى هذه المفاجأة,3
116,ولم يسره لونها الأسود البراق بعد ذلك الضباب الذى لبث فيه,4
117,ولم يسره لونها الأسود البراق بعد ذلك الضباب الذى بقى فيه,3
118,وكان من أثقل الأشياء على نفسه أن يسأل عن روحاته وغدواته,5
119,وكان من أثقل الأشياء على نفسه أن يسأل عن ذهابه ومجيئه,3
120,فقال لها أين كنت,3
121,وكيف يعنيك هذا,3
122,لقد أزعجتنا جدا يا سيدي,3
123,ولم يخطر لنا قط أنك قد تخرج في مثل هذه البكرة المطلولة,5
124,ولم نعتقد قط أنك قد تخرج في مثل هذا الصباح المبلل,3
125,فحرت ماذا أصنع و,5
126,فاحترت ماذا أصنع و,3
127,لعلك لم تقلقي أحدا من أجلي,5
128,لعلك لم تقلقي أحدا بسببي,3
129,نعم,3
130,أيقظتهم جميعا,3
131,أيقظتهم جميعا,3
132,ولماذا بالله,3
133,أترينني طفلا أم أنا هنا سجين,3
134,ولم تكن المسكينة تتوقع أن يغضبه سؤالها وإشفاقها عليه,3
135,وأفزعتها نظراته أكثر مما أفزعتها لهجته,4
136,وأفزعتها نظراته أكثر مما أفزعتها نغمته,3
137,فرمت بعينيها إلى الأرض وأخذت تتمتم لا,3
138,لا,3
139,ياسيدى,3
140,عفوك,3
141,هذا بيتك,3
142,من قال لك إني في بيتي يضرب علي نطاق من الخدم,4
143,من قال لك إني في بيتي يضرب علي حيز من الخدم,3
144,أنا,3
145,أنا,3
146,لا ذنب لي,3
147,لقد أمرتني سيدتي شوشو قبل أن تنام أن أخبرها,3
148,فلم يمهلها حتى تتم كلامها,3
149,وصاح بها وقد تملكه غضب شر ما فيه أنه يعلم أن لا داعي له إذا كانت سيدتك هي التي شاءت أن تسد في وجهي الأبواب,3
150,فسأرحل هذا النهار,3
151,نعم لا بد من السفر,4
152,نعم لا مفر من السفر,3
153,فلست أنوى أن أعصب رأسى وأسدل على وجهى قناعا,5
154,فلست أنوى أن أربط رأسى وأسدل على وجهى قناعا,4
155,فلست أنوى أن أربط رأسى وأرخي على وجهى قناعا,3
156,ودفع باب غرفته بعنف,3
157,ودخل وهو يتمتم بصوت يزيده تهدجا شعوره بأنه مخطئ في غضبه,5
158,ودخل وهو يتمتم بصوت يزيده اهتزازا شعوره بأنه مخطئ في غضبه,3
159,وأنه تهور بلا مسوغ,5
160,وأنه تهور بلا داعي,3
161,وشرع يعد حقيبته ويفكر في القيود التي تحيط بالمرء في الريف,4
162,وبدأ يعد حقيبته ويفكر في الحدود التي تحيط بالمرء في الريف,3
163,ونسي أن للمدن أيضا قيودها,4
164,ونسي أن للمدن أيضا حدودها,3
165,ولم يكن صاحبنا إبراهيم قد بلغ سن الفلسفة,4
166,ولم يكن صاحبنا إبراهيم قد بلغ سن الحكمة,3
167,أو إن شئت فقل سن التبلد أو الحزم أو ما تحب غيرهما,4
168,أو إن شئت فقل سن الخمول أو الإصرار أو ما تحب غيرهما,3
169,وإن كان بطبعه لا طياشا ولا قليل التؤدة,5
170,وإن كان بطبعه لا طائشا ولا قليل التمهل,3
171,وكان من ذلك الطراز الذي نستطيع أن نقول إن الله وهبة كل شىء,4
172,وكان من ذلك النوع الذي نستطيع أن نقول إن الله وهبة كل شىء,3
173,إلا القدرة على الانتفاع بالحياة والتوفيق فى الدنيا,4
174,إلا القدرة على الاستفادة بالحياة والتوفيق فى الدنيا,3
175,وإن يكن اشبه بالنساء في المرونة وسرعة التكيف,4
176,وإن يكن اكثر شبها بالنساء في المرونة وسرعة التغير,3
177,وكان عظيم الاعتداد بنفسه شديد الاعتماد عليها ولكن من غير أن يشوب ذلك الكبرياء والتقحم على الناس,5
178,وكان عظيم الافتخار بنفسه شديد الاعتماد عليها ولكن من غير أن يخلط ذلك الكبرياء والاقتحام على الناس,3
179,وفيه أنفة كثيرا ما كانت تبلغ درجة البلاهة,5
180,وفيه كرامة كثيرا ما كانت تبلغ درجة البلاهة,3
181,وقد غلب عليه الكاتب وصار لقبا وعلما عليه كما حدث لعبد الحميد من قبله بقرون طويلة المدد,4
182,وقد غلب عليه الكاتب وصار تسمية وعلما عليه كما حدث لعبد الحميد من قبله بقرون طويلة الآجل,3
183,ولم تكن مزيته الابتكار أو العمق بل إنه ما من فكرة يتناولها إلا وسعه أن يجلوها في أحسن معرض,5
184,ولم تكن ميزته الابتكار أو العمق بل إنه ما من فكرة يتناولها إلا أمكنه أن يجلوها في أحسن معرض,4
185,ولم تكن ميزته الابتكار أو العمق بل إنه ما من فكرة يتناولها إلا أمكنه أن يظهرها في أحسن عرض,3
186,وإلا استطاع — إذا لم تكن مما ابتكر — أن يضيف إليها ويزيد عليها ما ليس دونها,4
187,وإلا استطاع — إذا لم تكن مما ابتكر — أن يضيف إليها ويزيد عليها ما ليس أقل منها,3
188,على أن أبرز مزاياه كانت أن أسلوبه صورة لنفسه ليطلع على كل ما فيها,5
189,على أن أبرز مميزاته كانت أن أسلوبه صورة لنفسه ليطلع على كل ما فيها,4
190,على أن أبرز مميزاته كانت أن أسلوبه صورة لنفسه ليتعرف على كل ما فيها,3
191,وأن يجيلها فيما هو خارج عنه ليحيط بكل ما وراءها,5
192,وأن يديرها فيما هو خارج عنه ليحيط بكل ما وراءها,3
193,ولكنه قلما رأى شيئا خارجها إلا من خلالها,3
194,وكان على قوة طبعه شديد الحياء كثير الحذر ولا سيما مع النساء اللواتي لم يألف مجالسهن إلا العائليه,5
195,وكان على قوة طبعه شديد الحياء كثير الحذر وخصوصا مع النساء اللواتي لم يألف مجالسهن إلا العائليه,4
196,وكان على قوة طبعه شديد الحياء كثير الانتباه وخصوصا مع النساء اللواتي لم يعتاد على جلساتهن إلا العائليه,3
197,ولم يكن احترامه لهن كبيرا وإن كان على ذلك لا يحتقرهن,3
198,وعنده أن المرأة أداة لبقاء النوع,3
199,وإن جمالها ليس إلا شركا تنصبه الحياة ويحسن كثيرا أن يتجنبه,4
200,وإن جمالها ليس إلا فخا تقيمه الحياة ويحسن كثيرا أن يتجنبه,3
201,وإن الرجل أجمل من المرأة على العموم,4
202,وإن الرجل أجمل من المرأة عامة,3
203,لأن جمال الرجل الجميل لا يستمد أكثر فتنته — كجمال المرأة — من الغريزة النوعية,5
204,لأن جمال الرجل الجميل لا يستمد أكثر فتنته — كجمال المرأة — من الغريزة المميزة,4
