#١#الفصل #١#الثالث
«#١#كل #١#لتكون #١#فيك #١#قوة #٣#إذ #٢#تسير #١#في #١#الطريق..»
#١#صعد #٠#إبراهيم #٦#وشوشو #١#— #١#أم #٣#ترى #٣#ينبغي #٢#أن #١#نقول #٦#شوشو #٠#وإبراهيم؟
#١#إلى #١#غرفة #١#الطعام #٥#فألفيا #١#حول #١#المائدة «#٥#نجية» #١#كبرى #١#أخوات #٦#شوشو،
#١#وابنيها.
#١#وهي #١#سيدة #١#جميلة #١#الوجه،
#٢#ولكنها #١#ضخمة #١#الجسم #٤#مترهلة #٥#اللحم،
#٤#ذات #١#معدة #١#— #٣#وما #١#لنا #١#لا #١#نقول «#١#كرشا»؟
#١#— #١#تمشى #١#أمامها.
#١#ولها #١#إيمان #٤#راسخ #٥#بالمشائين #١#في #١#الظلام،
#٣#ونعني #١#بهم #١#الشياطين #١#والعفاريت #١#والأرواح،
#٤#وبأولياء #٠#الله #٣#الصالحين،
#٢#غير #٢#أن #١#إيمانها #٢#بأولئك #١#أقوى #٢#وأعمق #١#منه #١#بهؤلاء،
#١#وأكثر #٣#ما #١#تدور #١#أحاديثها #٣#وقصصها #١#بالليل #١#عنهم،
#١#وما #١#أقل #٢#من #٢#لم #١#تقل #١#له «#١#لا #٣#شك #٢#أنك #١#رأيت #١#عفريتا.
#٣#لقد #١#رأيتهم #١#انا #١#بعينى #١#هذه #١#مرات #٣#عديدة #١#في #١#البيت #١#وحوله.
#٢#ولكنهم #١#لا #٢#يؤذونك #١#إلا #١#إذا #١#كلمتهم #١#أو #٢#تعرضت #١#لهم».
#١#وللعفاريت #١#معها #٢#حادثة #١#لا #٣#تكف #١#عن #٢#ذكرها #٣#كلما #٣#عرضت #٢#مناسبة.
#٢#وتلك #٢#أنها #١#فيها #٤#مضى #١#من #١#الزمن #١#وفي #٦#مفتتح #١#حياتها #١#مع #١#زوجها،
#٢#قامت #١#بالليل #١#إلى #٢#حاجتها #٤#واستصحبت #١#معها #٢#خادمتها #٠#فاطمة #٤#الزنجية #٣#التي #١#عرفتها #١#في #١#الفصل #٣#السابق،
#٢#فلم #٤#تكد #٣#تبلغ #١#الحمام #١#حتى #١#سمعت #٤#وقع #٦#حوافر #٢#المعيز #٣#صاعدة #٤#ونازلة #١#على #١#السلم،
#٤#وعابثة #١#في #١#المطبخ،
#١#فصرخت #٤#وعادت #٥#تعدو #١#إلى #١#غرفتها #٢#ولكن #١#زوجها #٣#أبى #٢#أن #٢#يصدق #١#أو #٤#يلتفت #١#إلى #١#سبب #٢#فزعها «#١#فلما #٢#أصبحنا #١#وجدنا #١#كل #١#الأطباق #٣#التي #١#كانت #١#في #١#المطبخ #١#مكسرة،
#١#ووجدنا #١#ثلاثة #١#من #١#الغنم #١#ميتة.
#١#فهل #١#كسرت #١#الأطباق #١#نفسها؟
#١#ومع #٢#ذلك #٣#يأبى #١#ابن #١#عمي (#٤#أى #١#زوجها) #٢#أن #٢#يصدق»!
#١#وتضرب #١#بطن #١#يسراها #١#على #١#ظهر #٣#يمناها #١#فوق #١#كرشها #٢#الكروية #١#ومن #٣#أجل #١#هذا #٣#تعنى #١#قبل #١#الذهاب #١#إلى #٥#مخدعها #٢#بأن #١#تمر #١#بغرفة #١#بنيها،
#٢#ومن #١#تكون #١#في #٢#ضيافتها #١#من #١#أخواتها،
#٢#وأن #١#تمسح #١#رؤوسهم #٣#وتتلو #١#آية #١#الكرسي #٢#ثم #٤#تستودعهم #٠#الله #٤#وتمضي.
#١#وهي #١#من #٤#الطراز #٤#المحافظ #٣#الذي #٣#يستنكر #١#كل #١#جديد #١#ويعده #٤#بدعة #٥#يجب #٢#أن #١#يستغفر #٠#الله #١#منها #١#ويعاذ #١#به #١#من #١#شرها.
#١#ولزوجها #١#بيت #١#في #١#رمل #٠#الإسكندرية #١#مد #١#إليه #١#أسلاك #١#الكهرباء #٣#فاعترضت #٣#وقاومت #١#ما #١#استطاعت،
#١#فلما #٥#أعياها #٤#الأمر #٢#وأصر #١#زوجها #١#على #١#الكهرباء #٤#أبت #١#كل #١#الإباء #٢#أن #١#تدخلها #١#غرفة #١#نومها!
#١#فرأى #١#زوجها #٢#أن #٤#يرضيها #١#بهذه #٣#التضحية #١#الصغيرة.
#١#ولا #٣#يزال #١#البيت #١#تضيئه #١#الكهرباء #١#إلا #١#هذه #١#الغرفة #٣#التي #١#بقيت #١#كأنها #٥#قطعة #٣#ممتلكة #١#من #١#الزمن #٥#الغابر.
#٤#وجهز #١#زوجها #١#الحمام #٢#بالأدوات #٢#الحديثة #٢#فأغضبها #١#منه #١#هذا،
#٢#وأصرت #١#على #١#الاستحمام #١#في «#٢#الطشت» #٢#وإهمال #١#الحوض!
#٣#أما #١#التليفون #١#فله #١#في #١#بيتها #١#بالرمل #٢#عشر #١#سنوات #١#ومع #٢#ذلك #١#لا #١#تعرف #٢#كيف #١#تستعمله،
#١#وتقول #٦#شوشو #١#عنها #٣#إنها #١#تطلب #١#الرقم #٣#هكذا «#١#٩ #١#الرمل #١#١٥» #١#بدلا #١#من #١#الرمل #١#١٥٩ #٢#مثلا!
#٣#ومقياس #١#الصحة #١#عندها #٣#مقدار #٣#ما #٢#يصيبه #٣#المرء #١#من #١#طعام،
#٣#فأصح #١#الناس #٢#من #٣#يلتهمه #٣#التهاما #٢#ويأتى #١#على #٣#ما #١#أمامه #١#كأنه #٢#لن #٢#يصيب #٣#رزقه #١#غدا.
#٣#بل #٥#قيمة #٣#المرء #٤#رهن #٢#بذلك،
#٥#فأحق #١#الناس #٥#بالإكبار #٢#الأكول #٥#البطين #٣#أما #٢#من #١#يأكل #٣#بقدر #١#أو #١#لا #١#يأكل #١#حتى #١#يجوع #١#فهو #٥#طفل #٢#لم #١#يكبر #٢#ولم #٤#يشب #١#عن #١#الطوق #١#ولو #٢#جلله #٣#الشيب #٥#وقوست #١#قناته #١#السنون #١#أو #٢#الحادثات.
#٣#وأثمن #٣#ما #٣#تهديه #١#من #١#النصائح #١#إلى #٢#المريض #١#أو #١#الضعيف #١#أو #١#الحزين #٢#أن «#١#كل #٢#ثم #١#كل #٢#ثم #١#كل»!
#١#هذا #١#عندنا #١#الدواء #١#من #٤#الحمى #١#والمغص #١#والصداع #٣#الخ.
#١#ولا #٢#تصدق #١#الأطباء #٣#فإنهم #٣#يميتون #١#الناس #١#قبل #٢#أن #٣#تفرغ #٣#آجالهم!
