#١#لصوص #١#الماء
#٢#لم #١#يكن #١#يمر #١#يوم #١#على #١#الملك #٠#بوليقراط #١#بلا #٢#أن #١#يحضر #٠#أورستان #١#زعيم #١#أشقياء #٠#اليونان،
#١#أو #٢#من #٣#ينيبه #١#عنه #١#من #٣#أعوانه #١#الشجعان،
#١#فيبقى #١#في #٢#حضرته #٣#برهة #١#من #١#الزمان،
#٢#ثم #١#يأمر #١#الملك #٢#من #١#يذهب #١#معه #١#إلى #٣#حيث #١#يريد،
#١#فلا #٢#يأتي #١#الليل #١#إلا #١#ويعود #١#الرسول،
#١#ومعه #٣#أسير #١#مربوط #١#بالحديد،
#٣#فتصدر #٢#الإشارة #٣#بإضافته #١#إلى #٣#ما #١#في #١#السجن #١#من #٣#عديد.
#٣#وظل #٢#الأمر #٢#كذلك #١#تسعة #١#وثلاثين #١#يوما،
#٢#بغير #٢#توقف #١#وقع #١#فيها #١#أظفار #٢#أولئك #٣#السباع،
#١#تسعة #١#وثلاثون #٣#أسيرا #١#من #٢#بني #٢#الأمصار #٣#والنواحي،
#١#ليس #١#فيهم #١#إلا #١#ملك #٣#متبع،
#١#أو #١#أمير #١#له #١#الأمراء #٢#أتباع،
#١#أو #١#بطل #١#شجاع،
#٢#انتشر #٣#ذكره #٣#وذاع،
#٢#وملأ #٢#الأسماع،
#٢#ثم #١#مرت #١#سبعة #١#أيام #١#بلا #٢#أن #١#يقبض #١#على #١#أحد #١#أو #١#يزاد #١#السجن #١#على #٢#ذلك #١#العدد،
#١#وفي #١#اليوم #١#الثامن #١#حضر #٠#أورستان #١#يضرب #١#الأرض #١#برجليه #١#كأنه #١#شيطان #١#وعيناه #٢#جمرتان،
#١#من #١#الغضب #١#مشتعلتان،
#١#فدخل #١#على #١#الملك #١#فحياه،
#٢#ثم #١#قال: #٣#لقد #٢#أوشكت #٢#أيها #١#البطل #١#الشجاع،
#٣#الذي #١#لا #١#من #١#البشر #١#ولا #١#من #٣#السباع،
#٣#لولا #٢#أن #١#نفسه #١#العالية #١#العزيزة،
#١#فضلت #٣#حلول #١#الموت،
#٣#فآثر #٢#الإقامة #٢#بقاع #١#البحر،
#١#على #٣#الوقوع #١#في #٢#ذل #٣#الاعتقال.
#١#قال: #٢#ومن #٣#ذاك #١#يا #٠#أورستان #١#وما #١#حديثه؟
#١#قال: #١#يا #٢#مولاي،
#٢#فتى #١#من #٠#مصر #١#عالى #٣#المكانة #١#في #١#الضباط،
#٣#تدل #١#زينة #١#بذلته #١#على #٢#أنه #١#من #٢#حرس #١#القصر،
#١#وكان #١#على #١#صاحبة #١#شراع،
#١#ومعه #١#ثلاثة #١#من #٢#الأتباع،
#٢#فدعوناه #٣#كعادتنا #٢#للاستسلام،
#٣#فأبت #١#نفس #٠#عصام،
#١#فزدناه #٣#حصارا،
#١#فزاد #٣#عصيانا #٢#وتكبرا،
#١#حتى #٣#بلغ #١#من #٢#حيرتي #٣#ويأسي،
#٢#أن #٣#توليته #١#بنفسي،
#٢#فظهرت #١#بطولة #٢#الفتى #١#على #١#قوتي #٣#وشدتي،
#١#حتى #١#لو #٢#لم #٣#ينجدني #١#رجالي #٢#لصار #١#البحر #١#قبري،
#١#إلى #٢#أن #٣#خانه #١#على #١#قوتنا #١#الاحتمال.
#١#وكان #٢#أن #٣#خضعت #١#البطولة #١#للعدد،
#١#فصرخ #٢#الفتى #١#صرخة #٢#تذيب #١#الأسد،
#٢#قام #١#لها #١#البحر #١#وقعد،
#١#وسمعته #١#يقول: #١#مكانك #١#يا #٠#حماس،
#٢#إن #١#الجندي #١#المصري #١#لا #١#يعرف #٣#التسليم #١#للملوك،
#٢#فكيف #١#يستسلم #١#للص #٣#متشرد،
#٢#ثم #٢#لم #١#أرى #١#يا #٢#مولاي #١#إلا #١#بالسفينة #١#تحترق،
#٢#ثم #٣#إذ #١#بها #٣#قد #١#غرقت #٣#وإذ #٢#بالفتى #٣#قد #١#غرق،
#٣#فصعب #١#على #٢#أن #١#يموت #٢#وأن #٣#يفوت #١#ساحة #١#الحرب #١#من #١#قتاله #٣#ما #٣#يفوت،
#١#بسبب #٢#إنه #١#خلق #١#لها #١#لا #١#لبطن #١#الحوت،
#٣#اتبعته #١#برجالي #٢#يغوصون #١#عليه #٢#القاع،
#٣#ويبحثون #١#عنه #١#بين #١#الأمواج #٣#وجريان #١#المياة،
#١#وما #٣#زلنا #١#نفعل #١#حتى #٢#غياب #١#النهار،
#١#فلما #٢#لم #١#ينفع #٣#البحث،
#٣#ونفضنا #١#أيدي #٣#اليأس،
#١#رجعنا #١#نبكي #٢#فقده،
#١#ونبكي #١#الشجاعة #٣#والثبات #١#بعده.
#١#فقال #١#الملك #١#وامتلأت #١#عيناه #١#بالدمع: #٢#إن #١#كانت #٢#ذاكرتي #١#صادقة #١#يا #٠#أورستان،
#١#فهذا #١#اسم #١#شاب #١#مصري #١#كان #١#لنا #١#وله #١#فيما #٣#فات #٣#شان.
#١#قال #٠#أورستان: #١#وما #٢#ذلك #١#يا #٢#مولاي؟
#١#كنت #٣#عرضت #١#على #٢#حكماء #٠#اليونان،
#٢#وحكماء #٢#معظم #١#البلدان #١#هذا #١#السؤال،
#١#وهو: #٣#«لقد #٣#بلغت #١#الزيادة #١#آخرها #١#حتى #٢#أصبحت #١#أتوقع #٣#القلة،
#١#وطالت #٣#ألفتي #١#بهذا #١#الحال #١#مع #١#الزمان،
#١#حتى #١#خفت #١#تحول #١#الحال #٣#وإعراض #١#الزمان،
#١#فهل #٢#من #٢#يصف #١#لي #٣#ما #١#يخرجني #١#من #١#هذا #٣#الذعر،
#٣#وآمن #١#به #١#الزمن #٢#أن #٢#يأتي #١#على #١#سرعة؟
» #٣#فانصب #١#علي #١#من #١#الأجوبة،
#١#ما #٢#ظهر #٣#فساد #١#جميعه #١#بالتجربة،
#١#حتى #١#كتب #١#إلي #٢#فتى #١#من #٠#مصر #١#بهذا #١#الاسم #١#يقول: #٢#«إن #٢#الحوادث #٢#أيها #١#الملك #١#لا #١#يعرفن #١#ليلا #١#ولا #١#نهارا،
#٣#بل #٢#إنهن #٣#قد #١#يطرقن #١#فجرا،
#٢#وإني #١#لا #١#أرى #١#الملك #٣#ما #٢#يعتاد #١#به #١#النفس #١#على #١#احتمالهن #١#قبل #٣#وقوعهن #١#فجأة،
#١#إلا #٢#أن #١#يقرر #٢#لأعز #٣#ما #١#يجمع #٣#ويكرم #١#من #١#الأشياء #٢#فيحطمه #٢#تحطيم #٣#بقول #٣#الإرادة،
#٢#ويحرم #١#منه #١#النفس #١#وهي #٢#مغلوبة #٢#مستسلمة،
#٣#وهكذا #١#تفعل #١#بين #٣#الحين #١#والآخر #١#حتى #٢#يصير #١#الصبر #١#لك #٣#عادة.»
#١#فكان #١#هذا #١#جواب #٢#الحكمة #٢#والصواب #١#باتفاق #١#أهل #٣#الخبرة،
#١#من #١#أعظم #٢#الحكماء #٢#شهرة،
#١#وأبعد #٢#الحكماء #٣#سمعة #٢#وذكرى؛
#٣#وإذ #١#كانت #١#الجائزة #٣#المقررة #٢#لمن #١#ينفع،
#٢#ويجيب #١#الجواب #١#الصحيح،
#٢#أن #٣#يشتهي #١#على #٣#ما #٣#يشاء #١#إلا #٣#الحكم،
#٣#فقد #١#كتبت #١#إلى #٢#ذلك #١#الشاب #٢#بالتمني،
#٢#ولكنه #٢#لم #٢#يجب #١#حتى #١#هذا #١#الوقت،
#٢#فإن #١#كان #٣#ذاك #٠#حماس #١#هو #٣#الذي #٣#تفرط #١#في #٢#وصف #١#بطولته #١#وشجاعته،
#٣#فحسن #٣#الصهر #١#كنا #٣#نعتز #١#به #١#لو #١#عاش #١#يا #٠#أورستان،
#١#وهل #٢#لمحته #١#عيناك #١#وقت #٣#التصادم،
#١#قال: #١#نعم #١#يا #٢#مولاي #٢#أبصرته #٢#فأبصرت #١#البدر #١#عند #٢#التمام،
#١#ووجدته #١#جميلا #٣#بقدر #٣#ما #١#هو #٣#باسل #١#شجاع.
#١#قال: #٢#كذلك #٠#مصر #١#ما #٣#زالت #٢#مباركة #١#على #١#ممر #١#السنين،
#٣#موفقة #٢#مباركا #١#لأهلها #١#في #٢#البنين،
#٢#وإن #١#لأهلها #٢#لعذرا #١#إذا #١#عبدوا #١#بعض #١#الناس #١#منهم،
#٣#فقد #٢#يجتمع #١#للمصري #١#من #٢#عظيم #٣#المميزات،
#٣#ويتم #١#على #١#يده #١#من #٢#عظائم #١#الأعمال،
#٣#ما #٣#يضيق #١#عنه #٢#القدرة #٢#البشرية #١#وتتعب #١#به #٣#عزائم #١#الرجال.
#١#قال: #٣#وحاليا #١#ما #٢#رأي #١#الملك #٣#بشأن #٣#الأسرى،
#١#هل #٣#يظل #٣#ممسكهم #١#أو #١#في #٣#النية #١#فكهم؟
#١#– #٣#بل #١#سأفكهم #١#وأردهم #١#إلى #١#بلادهم #٣#خائبين؛
#٢#لأنني #٢#لم #١#أجد #١#بينهم #١#هدفي #١#المطلوب.
#١#– #٢#ذلك #٣#ما #١#أرى #١#أنا #١#أيضا #١#يا #٢#مولاي،
#٢#ولكن #٢#أذكر #٢#أن #١#بين #٣#الأسرى،
#١#أحد #١#أشقاء #١#الملك #٠#كسرى،
#١#فماذا #١#ترى #١#فيه #٣#وما #١#عندك #١#من #٣#التعويض #١#لأخيه؟
#١#– #١#ليس #٠#لكسرى #٢#أن #٣#يحتج،
#١#ولا #١#علينا #٢#أن #١#نطلب #٣#رضائه؛
#٣#إذ #٢#الأمر #٢#شخصي #٣#خالص،
#١#ولا #٣#دخل #٣#للرسميات #١#في #٣#خصوص #٢#المعاملات،
#١#وما #١#علينا #١#إلا #٢#أن #١#نكتب #١#إلى #١#الملك #٣#بتفصيل #٣#ما #٢#جرى،
#٢#ونخبره #٢#أن #١#الامتحان #٢#كشف #١#عن #٣#خيبة #١#أخيه #٣#خيبة #٣#فاضحة،
#٢#فلم #١#يعد #١#ممكنا #٢#أن #٢#أثق #١#في #٣#تزويج #١#أخيه #١#لابنتي #١#بعد #٢#أن #٣#ارتبطت #١#بوعودي #٢#وإلتزاماتي #١#أمام #٢#العصر #١#والممالك #١#والناس.
#١#قال: #٣#حسن #٢#الرأي #١#يا #٢#مولاي.
#٢#ثم #٢#إنه #١#استأذن #١#الملك #١#في #١#الانصراف،
#١#فأذن #١#له #٣#فانصرف #١#على #٢#أن #١#يعود #١#في #١#الغد #١#باكرا.
#١#وكان #١#الليل #٣#قد #٢#أتى #١#يسرع،
#١#فطلب #١#الملك #١#فتاته #٣#ليبلغها #٣#ما #٢#ظهر #٢#وبان #١#من #١#نتائج #١#الامتحان؛
#١#فقيل #١#له #٢#إنها #٢#متغيبة #٢#لم #١#تعد #١#حتى #١#هذا #١#الوقت #١#من #١#نزهتها #١#اليومية #١#على #١#شاطئ #١#البحر،
#٣#فشك #١#الملك #٢#بالأمر #١#وانشغل #١#بهذا #٣#الإبطاء،
#١#فجلس #١#إلى #١#نافذة #٢#مطلة #١#على #١#طريق #١#رجوع #١#الأميرة #٣#وأشرف #١#ينظر؛
#٣#وإذ #١#الطريق #٣#تنكشف #٢#لمد #١#النظر #٣#خلوا #١#من #١#الأقدام،
#١#لا #١#ماشي #١#عليها #١#إلا #١#الظلام،
#٣#فجد #١#بالملك #٣#الشك،
#٣#واضطرب #٣#فؤاد #١#الوالد #١#أي #٢#قلق؛
