#١#الفصل #١#الثالث
#١#وكانت #٥#طلائع #٤#الموكب #٥#جوقة #١#موسيقية #٣#يتقدمها #٥#سرب #١#من #٢#الراقصات،
#١#فلما #٣#بلغ #٤#الموكب #١#إلى #١#أول #٣#الميدان #٥#اختلجت #٦#جوكوندا #١#وقالت: #١#الموسيقى #١#أيضا #٤#وعهدي #١#بالموسيقى #٢#أنها #١#وجدت #١#لتسبيح #٤#الباري #١#تعالى #٣#وتمجيده.
#١#فقال #٦#سلفاستروس: #٢#ولكن #١#البشر #١#جعلوها #١#من #١#جملة #١#أسلحة #١#الحرب،
#١#والشياطين #٤#اقتبسوها #١#من #١#البشر.
#١#– #٣#إن #٣#فؤادي #٤#يخفق #١#لهذا #٥#اللحن،
#١#وأشعر #١#برعشة #١#في #٢#بدني،
#٣#كما #١#كنت #١#أشعر #٥#حين #١#تعزف #١#الموسيقى #١#في #٣#الكنيسة.
#١#– #٣#إنه #٥#لحن #٣#حماسي،
#١#هو #٥#لحن #٤#النصر #١#في #١#الحرب،
#٣#ولعله #٤#مقتبس #١#من #٢#ألحان #٣#الكنيسة.
#١#– #٥#تبا #١#لهم #٥#وألف #٥#تب،
#٤#يدنسون #٥#لحن #٣#الكنيسة #٣#الطاهر،
#١#أكره #٢#البقاء #١#هنا #١#يا #٤#عزيزي،
#٥#هلم #١#نرجع.
#١#– #١#لماذا #١#لا #٤#نحول #١#نحن #١#هذا #٥#اللحن #١#إلى #١#تسبيح #٤#الباري #٣#وتمجيده؟
«#١#وكل #٣#يغني #١#على #١#ليلاه».
#١#– #١#هذا #١#الرقص #١#يشبه #١#الرقص #٤#الروماني #٣#الذي #١#كنا #١#نرقصه #١#في #١#المدرسة،
#٣#كما #١#رقصه #٠#داود #١#النبي #١#— #١#عليه #٢#السلام #١#— #١#أمام #١#تابوت #٤#العهد،
#١#فهل #١#هؤلاء #٢#الراقصات #٥#كن #٤#راهبات #٣#فأثمن؟
#١#– #٣#بل #٥#هن #٢#فنانات #١#التاريخ #٣#اللواتي #١#جعلن #١#الرقص #١#عبادة #١#في #٣#هياكل #١#الجمال #٢#البشري،
#٣#معابد #٤#الشهوات #٥#البهيمية،
#٢#فحرم #٣#لأجلهن #١#الرقص #١#في #١#المساجد #٢#الدينية.
#١#– #٤#يتراءى #١#لي #٢#أن #٢#تلك #٢#الراقصة #١#الأولى #١#تشبه #٥#القديسة #٦#تيودورة #٥#الملكة #١#زوجة #١#الملك #٦#جستين.
#١#– #٣#بل #١#هي #١#هي #١#بعينها.
#١#– #١#لا #٢#أصدق،
#١#لا #٤#يمكن #٢#أن #١#تنزل #٥#قديسة #١#إلى #١#جهنم #٣#لكي #١#ترقص #١#فيها.
#١#– #٣#بالطبع #١#لا،
#٢#ولكن #٦#تيودورة #١#هي #٣#التي #٥#أمرت #٢#بأن #٤#تعين #٥#قديسة،
#٤#فنفذوا #٤#أمرها #١#بعد #١#موتها،
#١#وهي #٥#قديسة #٣#جهنمية.
#١#– #١#هل #١#تعرف #٢#تلك #٢#الراقصة #٣#الأخرى؟
#١#– #٣#أظنها #٦#كليوبترا،
#٣#وأظن #١#الثالثة #١#…
#١#– #٥#تبا #١#لهن #١#جميعا،
#١#كان #٥#يجب #٢#أن #١#يكن #٢#راقصات #١#في #١#السماء #١#أمام #٣#العرش #٣#الإلهي #٣#للتمجيد #١#والتسبيح.
#١#– #٣#أظن #٣#عرش #٦#بعلزبول #١#أكثر #٢#احتياجا #١#للرقص #١#يا #١#عزيزتي،
#١#وأما #٣#عرش #٠#الله #٤#فالكون #١#كله #١#تسبيح #٣#وتمجيد #١#له.
#١#•••
#٢#ثم #٣#تلا #٥#جوق #١#الموسيقى #١#والرقص #١#صفوف #١#من #١#جنود #٥#الزبانية،
#١#فدخلوا #١#إلى #١#الساحة،
#٤#واصطفوا #١#في #٢#جوانبها،
#١#ودخل #٤#الموكب #٦#البعلزبولي،
#١#فقالت #٦#جوكوندا: #٤#ويحهم!
