#١#الفصل #١#الخامس
#١#وكان #٦#بعلزبول #٤#يترنح #٣#طربا #١#من #١#حديث #٥#عقيلته #٤#الفتانة #٦#فينوموس،
#١#فلما #٤#استوت #١#على #٣#عرشها #٥#مزهوة #٥#تيها #٣#وافتخارا،
#١#قال #٦#بعلزبول: #١#نسمع #٤#الآن #٣#تقرير #١#صاحب #٥#الصولة #٦#فيرومارس #٣#وزير #١#الحرب،
#١#لا #٤#بد #٢#أن #١#يكون #١#حديثا #١#يشرح #١#الصدر.
#١#فوقفت #٦#فينوموس #١#وقالت: #٣#أظن #٢#أن #١#الترتيب #٢#الأنسب #٣#يقضي #٢#بأن #١#نسمع #١#صاحب #٤#الحنكة #٦#ميديوموس #٣#وزير #٢#الخارجية #٢#والمواصلات؛
#٢#لأني #٢#أعتقد #٢#أن #٤#مساعيه #٣#الحميدة #١#بين #٢#الجحيم #١#والأرض #١#كانت #١#من #١#أهم #١#العوامل #١#في #٥#إثارة #١#الحروب #٢#البشرية.
#١#فوقف #٦#ميديوموس #٥#وطفق #١#يتكلم: #١#أرى #٤#لزاما #١#علي #٢#أن #٤#أستهل #٥#خطابي #٤#بالثناء #١#على #١#سيدتنا #٤#المجيدة #٤#ذات #٣#الدهاء؛
#٢#لأن #١#أعمالها #٢#الحكيمة #١#فتحت #١#لنا #١#الطريق #٢#العريض #٣#للسعي #١#والعمل،
#٣#فقد #١#قبضت #١#على #٤#الشهوات #١#وما #٣#زالت #٢#تبذرها #١#في #١#قلوب #٢#بني #٠#آدم #١#وبنات #٠#حواء #١#حتى #٣#خالطت #١#منهم #٥#اللحم #١#والدم،
#١#فأخرجت #٦#شظأها #١#في #١#صدور #٥#النساء #١#وأزهرت #١#زهور #٤#فتنة #٤#وإغراء #٤#أخاذ #١#في #٥#ملامحهن #٤#وسائر #١#تصرفاتهن،
#٢#ونبتت #١#في #١#قلوب #١#الرجال،
#٦#فأمرعت #٤#وأينعت #١#ثمار #٢#طمع #١#وشره #١#في #١#ظاهرات #١#نشاطهم،
#٣#أما #٤#الفتنة #١#فكانت #٥#ازورار #٥#الزور #١#في #١#كحل #١#عيونهن،
#١#وخطوط #٥#المين #١#في #٦#تزجيج #١#حواجبهن،
#١#وتلون #٤#الغايات #١#في #١#تفاح #١#خدودهن #٥#وعندم #١#شفاههن،
#١#وحلاوة #٤#الخلاعة #٥#والتهتك #١#في #١#رمان #٤#نهودهن،
#٥#ووقيد #٤#الشهوة #١#في #٠#ميس #٦#قدودهن #٦#ونواحل #٣#خصورهن #٤#وارتجاج #٦#أردافهن،
#٦#وإيماآت #٤#الإغراء #١#في #٢#أزياء #٣#ملابسهن،
#٤#وبواعث #٥#الغواية #١#في #٣#حليهن،
#٦#وعاصفات #٣#الأشواق #١#في #١#غمزاتهن #٣#وتمايل #٥#أعطافهن.
#٣#وأما #١#نشاط #٢#الطمع #٤#والشره #١#في #١#الرجال #١#فكان #٤#باديا #١#في #٣#صلابة #٤#عضلاتهم،
#٥#ومفتول #٣#سواعدهم،
#٣#وحوافز #٣#الطموح #١#في #٦#شوامخ #١#أنوفهم،
#٣#ومغاور #٤#النهم #٤#فيما #١#لا #٣#حد #١#له #١#من #٢#أطماعهم،
#٦#وقواضم #٣#الافتراس #١#في #٣#جوارحهم،
#٥#ومناسج #٤#الكيد #١#في #٥#نزوات #١#رءوسهم،
#٢#ومعامل #١#سلاح #٤#التنازع #١#في #٣#خلايا #١#أدمغتهم.
#٥#وصفوة #٣#القول #٢#أن #٢#فنون #٤#فتنتهن #١#كانت #٢#عواصف #٣#تثير #٥#لجج #١#نشاط #١#الرجال #٤#اغتناما #١#للمال #١#بأي #٢#الوسائل؛
#٣#لكي #٤#يقايض #٣#الآدميون #١#بذهبهم #٤#الرنان #١#جمال #٦#الحواءات #٤#الفتان،
#١#وبهذه #٤#المقايضة #١#تتغذى #٤#شهوات #١#الفريقين #٢#ولكن #١#بلا #١#شبع.
#٣#إن #٤#شهوة #١#الفريقين #٣#إذن #١#هي #٥#المحرك #١#لطلب #١#المال #٣#والحرص #١#عليه،
#٣#إن #١#هذه #٤#الشهوة #٣#التي #٤#زعزعت #٥#ملكوت #١#الإنسان #١#كانت #١#من #٢#بذار #١#سيدتنا #٤#المبجلة #٤#ذات #٣#الدهاء #٦#فينوموس.
(#١#وهنا #٤#دوى #١#المكان #١#بالتصفيق #٤#والهتاف #٤#لذات #٣#الدهاء)،
#١#هذا #٥#المحرك #٤#القدير #٢#للطمع #١#بالمال #٤#مهد #١#لنا #١#الطريق #١#للعمل،
#١#فشكرا #١#لسيدتنا #٤#الموقرة (#٤#هتاف #١#لها)،
#٢#فمنذ #١#خرج #١#أبو #١#الإنسان #١#من #٣#الفردوس #٤#شرع #٢#الطمع #١#يفعل #٢#فعله #٢#العجيب،
#٤#شرع #٤#الراجم #٣#يستغل #١#تعب #٦#المرجوم #١#بألف #٢#أسلوب #٢#وأسلوب،
#١#ولا #٣#متسع #٣#لتعداد #٢#الأساليب،
#٢#ومعظمها #١#يرجع #١#إلى #١#استخدام #٥#النعرة #٢#الدينية #٤#للاستغلال.
#١#باستخدام #١#حمير #٤#المطامع #٢#ابتدأ #١#عملي.
#١#فقال #٦#بعلزبول #٤#مقاطعا: #١#هل #٣#تعني #٢#أنك #١#جعلت #٤#المطامع #١#حميرا #٤#يمتطيها #٤#الطامعون.
#١#– #١#لا #١#يا #٢#مولاي،
#٣#بل #١#بالعكس،
#١#جعلت #١#الناس #١#حميرا #٤#تمتطيها #٤#المطامع،
#١#فكل #٤#مطمع #٥#يستكد #٥#حماره #٦#بالموكز #١#في #٢#حلبة #٣#السباق #٣#لكي #٣#ينال #٥#القسط #٢#الأوفر #١#من #٤#الغنيمة؛
#٢#لذلك #٢#تجري #٥#حمر #٣#السباق،
#٣#تتزاحم #٣#وتتصادم #٣#ويثب #١#بعضها #١#على #١#بعض،
#١#ويدوس #١#قويها #١#ضعيفها،
#٤#وينهش #٣#لاحقها #٣#سابقها؛
#٣#لكي #٢#تملأ #٥#بطون #٤#مطامعها #١#من #٤#غنائمها.
#٣#فاعترض #٤#الفيلسوف #٦#جسنوف #٣#وزير #٤#القضاء #٢#قائلا: #١#هذا #١#يكون #١#في #٢#حالة #٣#الفوضى،
#٢#ولكن #١#حميرك #٤#مارسوا #١#النظام #١#حتى #٢#صار #٥#خلة #١#لهم،
#٢#فكيف #١#كنت #٢#تفسد #١#نظامهم؟!
#٢#فأجاب #٦#ميديوموس: #٢#لم #٢#أفسد #١#نظامهم،
#٣#بل #١#بالعكس #١#كنت #٤#أزين #١#لهم #٣#حسن #١#النظام #٢#والانتظام #١#في #١#جماعات،
#٣#لكي #٣#يتصادموا #١#جماعات #١#لا #٣#أفرادا؛
#٢#لأني #٢#لم #٤#أقنع #٣#بالربح #١#القليل #١#من «#٤#القطاعي»،
#٣#بل #٣#بالكسب #٤#الوافر #١#من «#١#الجملة»،
#٣#وهكذا #١#جعلت #١#النظام #١#بين #٣#الأفراد #٣#والفوضى #١#بين #١#الجماعات #١#لهذه #٤#الغاية.
#١#فقالت #٦#فينوموس: #٠#لله #٤#درك #١#من #٤#سياسي #٥#محنك،
#٤#تستنبط #٣#الفوضى #١#الكبرى #١#من #١#الأنظمة #١#الصغرى،
#٥#إنك #٢#لصانع #٤#معجزة #١#هي #١#أغرب #١#من #٢#لغز #١#أبي #٥#الهول،
#٢#فكيف #١#حللت #١#هذا #٢#اللغز؟!
#١#– #١#ضربة #١#واحدة #١#على #٢#المقتل #١#يا #١#سيدتي #٤#حلت #٢#اللغز،
#١#وهل #٤#ثمة #٢#مقتل #١#أضعف #١#من #١#الدماغ،
#٣#مهما #١#تكن #١#الضربة #١#هناك #١#ضعيفة #١#فهي #٤#تصرع.
#١#وماذا #١#في #١#الرأس #٢#غير #٤#العقيدة؟!
#٣#لقد #١#ضربت #٤#العقيدة #١#ضربة #١#واحدة #٢#فتفتت #١#إلى #٤#عقائد،
#٣#وبتفتتها #٢#انقسمت #٥#الأسرة #٣#الإنسانية #١#إلى #٣#أقوام #٣#تزعم #١#كلا #١#منها #١#زعيم،
#١#وكل #١#زعيم #٤#يزعم #٢#أن #٤#عقيدته #٦#محض #٢#الحق #٢#والصواب،
#٣#بل #١#هي #٥#الشرط #١#المستقيم #٤#المؤدي #١#إلى #٣#النعيم #٣#الأبدي،
#١#وبهذه #٤#الدعوى #٤#أخذ #١#كل #١#زعيم #٣#يستفز #٣#قومه #٣#للجهاد #١#في #٣#سبيل #٤#العقيدة #٣#التي #٤#يدينون #١#بها،
#١#ومن #١#هنا #١#كان #٤#منشأ #٥#النزاع.
#٣#لقد #١#كان #٢#لبني #٠#آدم #١#إله #١#واحد،
